,time,x,y,goalx,goaly,yaw,steer,throttle
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,-7.864642941689809,6.96845462017138,-9.3,7.8,-2.834731665794644,-0.7487489481709412,0.7
2,0.0,-7.876379603199304,6.96012384376725,-9.3,7.8,-2.838931288024547,-0.752097847941966,0.7
3,0.0,-7.88873876934725,6.950945649653171,-9.3,7.8,-2.840793371654677,-0.7581735200127918,0.7
4,0.0,-7.938648883764351,6.950247237338901,-9.3,7.8,-2.8462256458778494,-0.7680505128866194,0.7
5,0.0,-7.980776479145457,6.952147382950583,-9.3,7.8,-2.8495276353483203,-0.7769562112947153,0.7
6,0.0,-8.040645244437458,6.96531546295237,-9.3,7.8,-2.853573352614048,-0.7859983392080915,0.7
7,0.0,-8.080819872270602,6.976182816255579,-9.3,7.8,-2.8560012810890134,-0.791848301150188,0.7
8,0.0,-8.117058545322536,6.983704202286035,-9.3,7.8,-2.8583589036237753,-0.7985291723829411,0.7
9,0.0,-8.156401683834558,6.986636822393836,-9.3,7.8,-2.860627678243791,-0.809270254571,0.7
10,0.0,-8.186093184680677,6.983766337901501,-9.3,7.8,-2.8623911304342324,-0.8204235212088882,0.7
11,0.0,-8.220110575024526,6.976675724467187,-9.3,7.8,-2.8634277385902425,-0.8366081516207242,0.7
12,0.0,-8.250624671524958,6.9698073841389805,-9.3,7.8,-2.8636642112565234,-0.8525138228080276,0.7
13,0.0,-8.28709471891508,6.973060653025926,-9.3,7.8,-2.867088913324633,-0.8632503458006466,0.7
14,0.0,-8.304057588586911,6.974690210810229,-9.3,7.8,-2.8679450533740947,-0.8690658572275007,0.7
15,0.0,-8.354106709700286,6.97252014337669,-9.3,7.8,-2.874608905130882,-0.8871371031883548,0.7
16,0.0,-8.38664222896102,6.966095992727199,-9.3,7.8,-2.8786442496777536,-0.9026141123870228,0.7
17,0.0,-8.415840397998085,6.967564066459748,-9.3,7.8,-2.8801500538368465,-0.9150465026396571,0.7
18,0.0,-8.450933944779536,6.994054848503116,-9.3,7.8,-2.884109403114715,-0.9151493012413908,0.7
19,0.0,-8.48115081631439,7.0105484345461875,-9.3,7.8,-2.8896749036272387,-0.9171353398296563,0.7
20,0.0,-8.51243662568496,7.010732582704269,-9.3,7.8,-2.8933665637135295,-0.9312344358467937,0.7
21,0.0,-8.55418559769909,7.028522292453577,-9.3,7.8,-2.9000972023780536,-0.9394252988685902,0.7
22,0.0,-8.575460410826897,7.024518025453872,-9.3,7.8,-2.904760554114315,-0.9505604857610209,0.7
23,0.0,-8.612047301731085,7.038542776186391,-9.3,7.8,-2.90778520851588,-0.9628880523674191,0.7
24,0.0,-8.636839184369652,7.062400465000746,-15.0,7.3,-2.912276535244077,-0.9610253945130459,0.0
25,0.0,-8.676036708272164,7.067759000311975,-15.0,7.3,-2.9167003961016293,-0.23543975294224534,0.0
26,0.0,-8.713577403997947,7.055267829142393,-15.0,7.3,-2.9223738581391223,-0.23231648055073292,0.0
27,0.0,-8.749307337168053,7.067879024921243,-15.0,7.3,-2.9257253546243853,-0.22768693504291365,0.0
28,0.0,-8.783935303925873,7.079738736973935,-15.0,7.3,-2.926533524662707,-0.22543065650728755,0.0
29,0.0,-8.79923362295939,7.078453714166039,-15.0,7.3,-2.92645428227434,-0.22576683168553976,0.0
30,0.0,-8.802804427098932,7.07317626946975,-15.0,7.3,-2.9253322370402874,-0.22756060256595173,0.0
31,0.0,-8.810133899470003,7.065414074002632,-15.0,7.3,-2.9262123808985168,-0.22793447571197276,0.0
32,0.0,-8.801253164734863,7.058938820379974,-15.0,7.3,-2.9262030152646514,-0.2288328728775027,0.0
33,0.0,-8.795617367061869,7.050688603678604,-15.0,7.3,-2.926353722742609,-0.22986039165256855,0.0
34,0.0,-8.79855529451555,7.034289302465507,-15.0,7.3,-2.926410551590344,-0.2322022421771433,0.0
35,0.0,-8.795605846443593,7.025279669283834,-15.0,7.3,-2.9264315084443564,-0.2334695322062004,0.0
36,0.0,-8.789855234823548,7.022071346599171,-15.0,7.3,-2.9264448263547753,-0.2338847612455606,0.0
37,0.0,-8.780609762226048,7.0256475367327225,-15.0,7.3,-2.926445447009032,-0.23330795810161076,0.0
38,0.0,-8.779570929422071,7.019304250740899,-15.0,7.3,-2.926445447009032,-0.23421729296503477,0.0
39,0.0,-8.786859474850852,7.011726189087522,-15.0,7.3,-2.926445447009032,-0.23536025577164918,0.0
40,0.0,-8.801533196648162,6.998347959148286,-15.0,7.3,-2.926445447009032,-0.23739698851213334,0.0
41,0.0,-8.811998911303984,6.987861592897505,-15.0,7.3,-2.926445447009032,-0.23899231366619925,0.0
42,0.0,-8.813365873867781,6.979906878864277,-15.0,7.3,-2.926445447009032,-0.24015651678800756,0.0
43,0.0,-8.811713379851877,6.961064317867458,-15.0,7.3,-2.926445447009032,-0.2428767529817444,0.0
44,0.0,-8.801028227423291,6.946649104370555,-15.0,7.3,-2.926445447009032,-0.2448784115353323,0.0
45,0.0,-8.810889886231838,6.930335520527543,-15.0,7.3,-2.926445447009032,-0.24732408959519347,0.0
46,0.0,-8.822507829866762,6.919371517614704,-15.0,7.3,-2.926445447009032,-0.24901630478696848,0.0
47,0.0,-8.827008090438751,6.9122794224920305,-15.0,7.3,-2.926435333208445,-0.2500956938086721,0.0
48,0.0,-8.83020357527436,6.911916078205938,-15.0,7.3,-2.926445447009032,-0.2501685466674312,0.0
49,0.0,-8.828101917991205,6.9105017693342035,-15.0,7.3,-2.926445447009032,-0.2503547680903023,0.0
