Time,data
1652390010.7319894,-0.760358488372978
1652390010.8314462,-0.7254520233662876
1652390010.9196415,-0.691498966610267
1652390011.0176291,-0.6581067170960377
1652390011.108834,-0.6256344328779093
1652390011.3137572,-0.5883033515982596
1652390011.3569288,-0.5624091962602419
1652390011.4045765,-0.5353504016997964
1652390011.4925148,-0.508021580364178
1652390011.5917747,-0.483580986749592
1652390011.680132,-0.46137694327996165
1652390011.826499,-0.43992788490014556
1652390011.889337,-0.4226016959878127
1652390011.9766324,-0.40535366448683097
1652390012.0747628,-0.39128578957014165
1652390012.1751492,-0.378415786557249
1652390012.2616193,-0.36596164582766433
1652390012.3601387,-0.3554108397550051
1652390012.4502017,-0.3457518292883895
1652390012.6456254,-0.33604712635713135
1652390012.688105,-0.3296185462204867
1652390012.7567947,-0.32271393212808513
1652390012.8333085,-0.31711460126527125
1652390012.9297807,-0.3120322133126559
1652390013.0182965,-0.3065421445136195
1652390013.1166544,-0.3010184721300087
1652390013.2599669,-0.2970250386071657
1652390013.3142374,-0.293838362741067
1652390013.4138653,-0.29014942687124634
1652390013.5113385,-0.28723309898343585
1652390013.5995092,-0.2847759667617943
1652390013.6924698,-0.2820324322847622
1652390013.792609,-0.2803509080857798
1652390013.8859243,-0.2788134653109964
1652390013.9769576,-0.2784111303742763
1652390014.082965,-0.2783119646521105
1652390014.1819978,-0.27769380489495554
1652390014.2698407,-0.2768193820152849
1652390014.3707669,-0.27735289316095596
1652390014.4580445,-0.2784118064992208
1652390014.547064,-0.280060053097601
1652390014.6536953,-0.2817284587608917
1652390014.7527707,-0.28256241133384263
1652390014.840415,-0.28407848857533946
1652390014.9405844,-0.2855532264949947
1652390015.0314236,-0.2871286070692165
1652390015.1293385,-0.2884366159949114
1652390015.216987,-0.28968641234766784
1652390015.3159773,-0.290663131455101
1652390015.511771,-0.29127659833848396
1652390015.555259,-0.29212601507666736
1652390015.6112509,-0.2928644109101328
1652390015.7005277,-0.2932908004590285
1652390015.798684,-0.2935057561009476
1652390015.8863165,-0.2940569669782294
1652390015.9860675,-0.29437420087834987
1652390016.0747492,-0.2940649792323236
1652390016.1820986,-0.29372534974175046
1652390016.2809134,-0.29388103348404404
1652390016.373228,-0.29426013982575183
1652390016.4731104,-0.29524759919740917
1652390016.5629056,-0.2965567054425806
1652390016.6509962,-0.2977416931400837
1652390016.751045,-0.2988370874809844
1652390016.8401442,-0.3002479565922945
1652390016.947977,-0.3016719797204896
1652390017.1502473,-0.3039033399910683
1652390017.2436519,-0.3068207590738778
1652390017.3251665,-0.31040297599600036
1652390017.4148092,-0.3134588701414062
1652390017.5118349,-0.31605047197894065
1652390017.6247132,-0.3188929950581322
1652390017.7098851,-0.32140964231913566
1652390017.8098247,-0.3238395499948289
1652390017.895845,-0.3269037512689609
1652390017.9951591,-0.3293126929035378
1652390018.1742804,-0.33073255289116293
1652390018.2160082,-0.33421056554043554
1652390018.2911894,-0.3370704308527279
1652390018.379157,-0.3400485274694046
1652390018.468269,-0.3437826590536788
1652390018.5660322,-0.3462050273957159
1652390018.6537817,-0.34913156329437517
1652390018.7878244,-0.3524832891771637
1652390018.8634622,-0.3545743670066189
1652390018.9520786,-0.3565519674765748
1652390019.0401936,-0.3585356328593484
1652390019.1393971,-0.3599025150298628
1652390019.2275999,-0.36155329770939565
1652390019.335632,-0.3628592644436382
1652390019.4356465,-0.36533590007736505
1652390019.5227568,-0.36804359501604966
1652390019.7087824,-0.36986868863637284
1652390019.7513452,-0.3737784709683337
1652390019.8102794,-0.37728407242309664
1652390019.8986213,-0.38232732429012
1652390019.9958665,-0.3864563983022191
1652390020.0967426,-0.39075212179223023
1652390020.1945653,-0.3952899316116959
1652390020.2938735,-0.40087798506056765
1652390020.3946729,-0.40574857021545235
1652390020.4813623,-0.41031494361842846
1652390020.5713968,-0.41536659162344863
1652390020.6685321,-0.4198157146379039
1652390020.7599552,-0.4231046776157423
1652390020.8572981,-0.42704020093046796
1652390021.0410655,-0.4303889921937632
1652390021.0908954,-0.4342974926738768
1652390021.1514688,-0.43818539662854356
1652390021.2405026,-0.4417265194061253
1652390021.3399827,-0.44532933060776886
1652390021.4313576,-0.44943257976912726
1652390021.5400462,-0.45321742798064535
1652390021.6292062,-0.4578658198343419
1652390021.7252035,-0.46109245210815736
1652390021.81445,-0.4649855763569427
1652390021.913964,-0.46885974096545235
1652390022.0019228,-0.4733802447611774
1652390022.0984025,-0.47685983700569695
1652390022.1884012,-0.47949101955903345
1652390022.297152,-0.4811647975349621
1652390022.395855,-0.4835858041337593
1652390022.4834402,-0.4862479869887587
1652390022.6804428,-0.4890440518843719
1652390022.722818,-0.4927341624836502
1652390022.7671502,-0.4968683610116895
1652390022.8567593,-0.5011989798059041
1652390022.9664445,-0.5054073994671442
1652390023.0633943,-0.5096064021124319
1652390023.1520941,-0.5138957262174939
1652390023.2518377,-0.5184438690876217
1652390023.3496807,-0.5231415128534961
1652390023.4387524,-0.5266397805465368
1652390023.5356774,-0.529899482412467
1652390023.6231892,-0.5322626993932849
1652390023.8052506,-0.5338721540626632
1652390023.8477235,-0.5373975330304879
1652390023.921261,-0.5410112494022045
1652390024.0179265,-0.5447375906020455
1652390024.1059635,-0.5480939892876223
1652390024.204405,-0.5517305383015317
1652390024.294216,-0.5556662126475232
1652390024.3920677,-0.5584185461548195
1652390024.5224373,-0.5592522259851931
1652390024.5892568,-0.5613939511338889
1652390024.6872535,-0.5630003646309604
1652390024.776058,-0.5646902556089299
1652390024.8641512,-0.5657581778294198
1652390024.9637058,-0.5665656352380678
1652390025.0725982,-0.5668818478810286
1652390025.1620293,-0.5675278606579491
1652390025.259486,-0.5697117078556613
1652390025.3465812,-0.5731403752507296
1652390025.4470854,-0.5759097545661507
1652390025.5358222,-0.5786308593515191
1652390025.6343796,-0.5798669289810435
1652390025.7341883,-0.5812838644934167
1652390025.8415003,-0.5826554988209489
1652390025.9298556,-0.58512643683956
1652390026.0282218,-0.5881248975136129
1652390026.1176922,-0.5906081877871656
1652390026.216342,-0.5929218729952934
1652390026.3051698,-0.5941618596973735
1652390026.4018679,-0.5964306714924886
1652390026.492291,-0.5986498578021057
1652390026.6065483,-0.6001743779069443
1652390026.6961987,-0.601479137540976
1652390026.7924244,-0.6021250038889987
1652390026.882391,-0.602532461247827
1652390026.9796088,-0.603422411052537
1652390027.068348,-0.6052037246197183
1652390027.1580791,-0.6061328965139081
1652390027.2894087,-0.6074654349608144
1652390027.3642018,-0.6099749888014523
1652390027.451621,-0.6128996954345051
1652390027.550442,-0.6141876207521872
1652390027.6386046,-0.6158530647773027
1652390027.7384048,-0.6172927247367759
1652390027.8277767,-0.6204945970105096
1652390027.9349344,-0.6242695250832514
1652390028.2090974,-0.6235633076106096
1652390028.2136464,-0.6286201920918865
1652390028.3103762,-0.6321626485958081
1652390028.5171845,-0.6337159197526983
1652390028.519906,-0.6386416506779092
1652390028.6015003,-0.6437964568744572
1652390028.6994014,-0.6466621061257444
1652390028.7863333,-0.6496896023252772
1652390028.886943,-0.6527589908142213
1652390028.974136,-0.6580453958345229
1652390029.1307833,-0.6611709365875277
1652390029.181683,-0.665949391110243
1652390029.2689276,-0.6696790653711276
1652390029.367739,-0.6731589350215498
1652390029.4577525,-0.6781660941623203
1652390029.5568337,-0.681621331362779
1652390029.644094,-0.6848741726643713
1652390029.7435408,-0.6889939459756297
1652390029.8308904,-0.6920209263357487
1652390029.9509242,-0.6939792774557832
1652390030.0386477,-0.6996013143899928
1652390030.1370726,-0.7031489667720043
1652390030.2273927,-0.708005788128638
1652390030.324048,-0.715021398285487
1652390030.4127676,-0.7236278665577539
1652390030.511212,-0.729982343843778
1652390030.600007,-0.7387491814712317
1652390030.7714467,-0.7441868954191071
1652390030.8183193,-0.7485438389039166
1652390030.8959415,-0.7493948761194918
1652390030.9923568,-0.7487489481709412
1652390031.0843618,-0.7486548688105241
1652390031.1808252,-0.752097847941966
1652390031.2699904,-0.7581735200127918
1652390031.488,-0.760018789571186
1652390031.4930532,-0.7649273564305141
1652390031.56788,-0.7680505128866194
1652390031.6608,-0.7729918994404693
1652390031.7488244,-0.7769562112947153
1652390031.8480735,-0.7804811174847018
1652390031.935283,-0.7842438235950404
1652390032.0341322,-0.7859983392080915
1652390032.2020965,-0.7887010877021797
1652390032.2432199,-0.791848301150188
1652390032.330395,-0.7949205314155416
1652390032.429065,-0.7985291723829411
1652390032.5200179,-0.8035554381660067
1652390032.605087,-0.809270254571
1652390032.7022552,-0.8135892704076488
1652390032.7926877,-0.8204235212088882
1652390032.918722,-0.8262426660352483
1652390032.99972,-0.8366081516207242
1652390033.0868459,-0.8453300975595032
1652390033.1848395,-0.8525138228080276
1652390033.272013,-0.8585086240979414
1652390033.4320402,-0.8632503458006466
1652390033.4803638,-0.8690658572275007
1652390033.7392757,-0.8732909101344681
1652390033.7603202,-0.8806653678952615
1652390033.8502755,-0.8871371031883548
1652390034.045209,-0.8929659676067488
1652390034.0562303,-0.9026141123870228
1652390034.1470814,-0.9092866686912131
1652390034.2338684,-0.9150465026396571
1652390034.3318768,-0.9155776489467337
1652390034.4189966,-0.9151493012413908
1652390034.5203373,-0.9153304159881317
1652390034.660774,-0.9171353398296563
1652390034.7174351,-0.9234458923348835
1652390034.8144417,-0.9312344358467937
1652390034.9023552,-0.9337177375751102
1652390035.001016,-0.9371527646553488
1652390035.100077,-0.9394252988685902
1652390035.1884654,-0.9442014524487227
1652390035.286646,-0.9505604857610209
1652390035.3756194,-0.9560897868633852
1652390035.48588,-0.9628880523674191
1652390035.5811205,-0.9619168804466406
1652390035.6717083,-0.9610253945130459
1652390035.759684,-0.23722200143162106
1652390035.8619866,-0.23543975294224534
